lat,lon,name,weight,food
49.2196141,-122.9685904,Panago,2.0,1
49.2218138,-122.9969317,Domino's,2.0,1
49.2189484,-122.9690302,Masita Korean Restaurant,6.0,1
49.2190745,-122.9694701,Roadside Spicy Pot,6.0,1
49.233088,-123.0657292,McDonald's,2.0,1
49.233102,-123.0659438,Kent's Kitchen,2.0,1
49.2179175,-123.0766614,Hometown Pizza,2.0,1
49.2256886,-123.0777235,Papa Dave's Pizza Indian Cuisine,2.0,1
49.2182564,-123.0773813,McDonald's,2.0,1
49.2256116,-123.0777236,KFC,2.0,1
49.2843841,-123.1088901,Gastown Steam Clock,10.0,0
49.2842334,-123.1090325,Water Street Cafe,6.0,1
49.263537,-123.1271949,Minato Japanese Restaurant,6.0,1
49.2633884,-123.1160798,McDonald's,2.0,1
49.2635072,-123.1248994,Saravanaa Bhavan (South Indian),6.0,1
49.2634241,-123.1173128,Cactus Club Cafe,6.0,1
49.2635191,-123.1231332,Tim Hortons,3.0,1
49.2632049,-123.1070497,Starbucks,3.0,1
49.2636456,-123.1316944,Royal Seoul House,6.0,1
49.2633312,-123.1130836,Menya Raizo,6.0,1
49.2632776,-123.1106188,Fatburger,2.0,1
49.2633362,-123.113621,Subway,2.0,1
49.2634886,-123.1215189,A&W,2.0,1
49.2370364,-123.0656459,Sandy La Chinese Restaurant,6.0,1
49.2673455,-123.112992,Starbucks,3.0,1
49.2390725,-123.0650033,Dairy Queen,2.0,1
49.0962045,-122.0442581,,2.0,0
49.2412681,-123.1016459,Au Petit Café,6.0,1
49.291387,-123.1350164,Banana Leaf,6.0,1
49.2907725,-123.1340782,Dinesty Dumpling House,6.0,1
49.2906218,-123.1338516,McDonald's,2.0,1
49.2899852,-123.1334918,Sushi Itoga,6.0,1
49.2623252,-123.0886437,Nha Trang Restaurant,6.0,1
49.1848929,-122.9493423,Lucky Sushi,6.0,1
49.2862655,-123.1276613,Momo Sushi,6.0,1
49.2607875,-123.1008067,Mali Thai Food,6.0,1
49.235221,-123.1157169,Starbucks,3.0,1
49.184369,-122.9507625,Queensboro Pizza,2.0,1
49.2787084,-122.8066737,Domino's,2.0,1
49.2798592,-122.7997004,Ricky's Bar & Grill,6.0,1
49.2785219,-122.8142905,Coquitlam Grill,6.0,1
49.2565154,-122.7481768,Poco Sushi,6.0,1
49.2723413,-122.789067,De Dutch,6.0,1
49.2766562,-122.8310949,Joker's Pizzaria,6.0,1
49.2844578,-123.0656991,Scan-Delicious,6.0,1
49.2273356,-122.9997733,McCafé,3.0,1
49.2272898,-123.0001015,Uni Sushi Express,2.0,1
49.225024,-122.9900721,Sushi Oyama,6.0,1
49.2112394,-122.9353594,Domino Pizza,6.0,1
49.2260832,-123.001846,Blenz Coffee,3.0,1
49.2262286,-123.0014923,Fortune House Seafood Restaurant,6.0,1
49.1176829,-122.6694722,Legendary Noodle,6.0,1
49.1186802,-122.6700701,Fresh Donair,2.0,1
49.1186793,-122.6698975,Wild Wing,6.0,1
49.213342,-122.9375173,Quick Bite,2.0,1
49.2232465,-122.982719,Potter's Garden,6.0,1
49.2315873,-123.009736,Waves,3.0,1
49.2344287,-123.0360721,Chef Pin,6.0,1
49.2623272,-123.0898418,Klasik Inasal,6.0,1
49.218633,-122.9551616,Burger King,2.0,1
49.2186088,-122.9564849,Starbucks,3.0,1
49.2255444,-122.9968024,Chop n Toss,2.0,1
49.2258643,-122.9969705,Burger King,2.0,1
49.2258877,-122.9975787,Chef Tony Dim Sum,2.0,1
49.2253972,-122.9972623,Chronic Tacos,2.0,1
49.2254547,-122.9975777,Thaï Express,2.0,1
49.2285933,-122.9995392,Sulmida,3.0,1
49.2254008,-122.997067,Koya Japan,2.0,1
49.2254531,-122.9968869,Subway,2.0,1
49.2257668,-122.9968006,Nando's,6.0,1
49.2257969,-122.9968887,Bubble Waffle Cafe,2.0,1
49.2258275,-122.9969398,Manchu Wok,2.0,1
49.2254863,-122.9976519,Vina Vietnamese,2.0,1
49.2255226,-122.9977261,Chachi’s,2.0,1
49.2255531,-122.9977931,U-Grill,2.0,1
49.2273734,-123.0000139,Kawawa,6.0,1
49.2273299,-122.9999156,Kawawa Ramen,6.0,1
49.2256778,-122.9973902,Starbucks,3.0,1
49.2259279,-122.9975146,Crêpe de Licious,2.0,1
49.2258084,-122.9977187,Curry Express,2.0,1
49.2257836,-122.9978073,Orange Julius,2.0,1
49.2275306,-122.999928,Freshslice Pizza,2.0,1
49.2257638,-122.9967208,Togo Sushi,2.0,1
49.2263089,-122.9999809,Take Five Café,3.0,1
49.2253988,-122.9971646,Opa! Of Greece,2.0,1
49.2254197,-122.9969699,KFC,2.0,1
49.2254951,-122.9968289,New York Fries,2.0,1
49.2258501,-122.9976493,Bourbon St. Grill,2.0,1
49.2254058,-122.9973612,A&W,2.0,1
49.2254283,-122.9974687,Tim Hortons,3.0,1
49.2274703,-122.9998197,The American Cheese Steak Co.,2.0,1
49.291675,-123.1348931,Rad on Denman,6.0,1
49.2284012,-123.0046672,Sunshine,3.0,1
49.2284147,-123.0045206,Chuan Dong,6.0,1
49.2285595,-123.0045242,Comebuy,3.0,1
49.2275482,-122.8370119,Neptune Chinese Kitchen,6.0,1
49.2505112,-122.8949216,Grainery,3.0,1
49.2507154,-122.89576,Sashimi Sushi,2.0,1
49.2798847,-123.1068032,Canra Plus,2.0,1
49.2799835,-123.1065637,Ryo,2.0,1
49.2800531,-123.1064691,India’s Flavour,2.0,1
49.2800925,-123.1064315,Kazoku,2.0,1
49.2278206,-122.840058,Starbucks,3.0,1
49.2275278,-122.8372893,The Buffet,6.0,1
49.227688,-122.836293,Made to Order Chip's,2.0,1
49.2278297,-122.8401544,Triple Os,2.0,1
49.2419122,-122.8845042,Char 631 Steakhouse,6.0,1
49.2510633,-122.8951452,Anna's,3.0,1
49.2507778,-122.8945798,Wok,2.0,1
49.25081,-122.8946267,Kojo of Japan,2.0,1
49.2508506,-122.8947628,A&W,2.0,1
